"","Dolphin.ID","Birth.Date","Death.Date","Sex","total.num.sightings","gap","time","event","trunc.time","first.sight.date","last.sight.date"
"121",121,2009-12-27,2010-08-21,"Female",9,0.0958247775496235,0.648870636550308,1,0,2010-04-19,2010-07-07
"122",122,1989-11-01,1990-07-03,"Unknown",10,0.054757015742642,0.668035592060233,1,0,1990-03-24,1990-06-07
"123",123,2015-10-21,2016-06-23,"Unknown",2,0.605065023956194,0.673511293634497,1,0,2015-10-26,2016-06-03
"124",124,1999-11-01,2000-07-12,"Unknown",1,NA,0.695414099931554,1,0,2000-05-28,2000-05-28
"125",125,1995-11-23,1996-08-06,"Male",7,0.0629705681040383,0.70362765229295,1,0,1996-06-11,1996-08-04
"126",126,1996-10-06,1997-06-20,"Unknown",23,0.106776180698152,0.70362765229295,1,0,1996-10-12,1997-05-20
"127",127,2005-11-01,2006-07-18,"Unknown",2,0.112251882272416,0.709103353867214,1,0,2006-05-13,2006-06-23
"128",128,1993-12-15,1994-09-01,"Unknown",3,0.0355920602327173,0.711841204654346,1,0,1994-04-19,1994-05-14
"129",129,2007-11-20,2008-08-13,"Unknown",5,0.0602327173169062,0.731006160164271,1,0,2008-06-06,2008-07-25
"130",130,1991-01-01,1991-09-30,"Female",31,0.0848733744010951,0.744695414099932,1,0,1991-01-28,1991-09-29
"131",131,1989-12-01,1990-08-31,"Unknown",10,0.20807665982204,0.747433264887064,1,0,1990-03-24,1990-08-16
"132",132,2019-04-01,NA,"Unknown",5,0.284736481861739,0.752908966461328,0,0,2019-06-08,2019-11-16
"133",133,2005-12-01,2006-09-13,"Unknown",2,0.112251882272416,0.783025325119781,1,0,2006-07-19,2006-08-29
"134",134,2019-03-15,NA,"Unknown",6,0.0711841204654346,0.799452429842574,0,0,2019-06-01,2019-07-16
"135",135,2014-02-01,2014-11-28,"Unknown",1,NA,0.82135523613963,1,0,2014-06-30,2014-06-30
"136",136,1988-10-01,1989-08-01,"Male",10,0.0410677618069815,0.832306639288159,1,0,1989-05-25,1989-07-26
"137",137,1987-11-01,1988-09-01,"Unknown",0,NA,0.835044490075291,1,0,NA,NA
"138",138,2003-08-01,2004-06-03,"Unknown",2,0.498288843258042,0.840520191649555,1,0,2003-08-18,2004-02-16
"139",139,2004-03-25,2005-01-29,"Unknown",1,NA,0.848733744010951,1,0,2004-08-21,2004-08-21
"140",140,2005-02-01,2005-12-11,"Unknown",4,0.0766598220396988,0.856947296372348,1,0,2005-07-14,2005-08-28
"141",141,2007-03-09,2008-01-20,"Unknown",2,0.0958247775496235,0.867898699520876,1,0,2007-06-12,2007-07-17
"142",142,2014-10-06,2015-08-27,"Unknown",13,0.53388090349076,0.889801505817933,1,0,2014-10-18,2015-08-27
"143",143,2019-02-04,NA,"Male",20,0.161533196440794,0.906228610540726,0,0,2019-05-19,2019-12-07
"144",144,1999-03-05,2000-02-02,"Female",26,0.0903490759753593,0.914442162902122,1,0,1999-06-14,1999-11-04
"145",145,2000-11-01,2001-10-01,"Unknown",1,NA,0.914442162902122,1,0,2001-08-03,2001-08-03
"146",146,1998-11-01,1999-10-01,"Unknown",3,0.0492813141683778,0.914442162902122,1,0,1999-08-22,1999-09-10
"147",147,1992-11-01,1993-10-04,"Unknown",1,NA,0.922655715263518,1,0,1993-03-22,1993-03-22
"148",148,2019-01-01,2019-12-07,"Unknown",7,0.136892539356605,0.930869267624914,1,0,2019-05-31,2019-09-25
"149",149,2003-11-01,2004-10-12,"Unknown",11,0.0629705681040383,0.947296372347707,1,0,2004-07-09,2004-10-08
"150",150,1991-11-01,1992-10-15,"Unknown",1,NA,0.955509924709103,1,0,1992-07-10,1992-07-10
"151",151,2001-05-15,2002-05-01,"Unknown",12,0.0903490759753593,0.960985626283368,1,0,2001-06-15,2001-09-27
"152",152,2017-01-01,2017-12-28,"Unknown",1,NA,0.988364134154689,1,0,2017-06-30,2017-06-30
"153",153,1996-12-01,1997-11-30,"Unknown",2,0.216290212183436,0.996577686516085,1,0,1997-02-23,1997-05-13
"154",154,2019-01-01,NA,"Unknown",8,0.364134154688569,0.999315537303217,0,0,2019-05-30,2019-12-07
"155",155,2019-01-01,NA,"Unknown",6,0.167008898015058,0.999315537303217,0,0,2019-06-01,2019-10-03
"156",156,2019-01-01,NA,"Unknown",6,0.254620123203285,0.999315537303217,0,0,2019-07-03,2019-11-26
"157",157,2001-06-01,2002-06-01,"Unknown",1,NA,0.999315537303217,1,0,2001-08-03,2001-08-03
"158",158,2003-11-01,2004-11-01,"Unknown",5,0.128678986995209,1.00205338809035,1,0,2004-08-19,2004-10-29
"159",159,2005-01-01,2006-01-03,"Unknown",1,NA,1.00479123887748,1,0,2005-07-09,2005-07-09
"160",160,2018-12-24,2020-01-20,"Unknown",8,0.331279945242984,1.02121834360027,0,0,2019-05-12,2019-12-04
"161",161,1998-11-01,1999-11-10,"Unknown",0,NA,1.02395619438741,1,0,NA,NA
"162",162,2005-11-01,2006-11-11,"Unknown",1,NA,1.02669404517454,1,0,2006-04-20,2006-04-20
"163",163,2018-12-19,NA,"Female",22,0.134154688569473,1.03490759753593,0,0,2019-05-15,2019-12-07
"164",164,1992-12-01,1993-12-15,"Unknown",1,NA,1.03764544832307,1,0,1993-06-17,1993-06-17
"165",165,2017-12-15,2018-12-30,"Unknown",2,0.177960301163587,1.0403832991102,1,0,2018-06-15,2018-08-19
"166",166,2004-08-01,2005-08-17,"Unknown",6,0.796714579055442,1.04312114989733,1,0,2004-08-21,2005-08-13
"167",167,2001-12-01,2002-12-17,"Unknown",1,NA,1.04312114989733,1,0,2002-07-30,2002-07-30
"168",168,2018-12-15,NA,"Male",0,NA,1.04585900068446,0,0,NA,NA
"169",169,1995-11-01,1996-11-22,"Unknown",1,NA,1.05954825462012,1,0,1996-07-28,1996-07-28
"170",170,1992-11-15,1993-12-09,"Unknown",9,0.344969199178645,1.06502395619439,1,0,1992-12-03,1993-09-17
"171",171,1988-11-01,1989-12-08,"Unknown",1,NA,1.1006160164271,1,0,1989-06-20,1989-06-20
"172",172,1988-11-01,1989-12-09,"Unknown",2,0.0711841204654346,1.10335386721424,1,0,1989-07-14,1989-08-09
